,CRIME_TYPE,HUNDRED_BLOCK,MONTH,YEAR
136,Theft from Motor Vehicle,9200 134A ST     ,1,2014
137,Break and Enter - Business,10600 KING GEORGE BLVD    ,1,2014
138,Theft of Motor Vehicle,9800 151ST ST     ,1,2014
139,Theft from Motor Vehicle,15000 75TH AVE     ,1,2014
140,Theft of Motor Vehicle,10600 150TH ST     ,1,2014
141,Theft of Motor Vehicle,15800 82ND AVE     ,1,2014
142,Theft from Motor Vehicle,9200 138TH ST     ,1,2014
143,Theft of Motor Vehicle,13600 BENTLEY RD     ,1,2014
144,Theft of Motor Vehicle,7000 150TH ST     ,1,2014
145,Theft of Motor Vehicle,2800 156TH ST     ,1,2014
146,Theft from Motor Vehicle,10000 150TH ST     ,1,2014
147,Theft from Motor Vehicle,14800 68TH AVE     ,1,2014
148,Theft of Motor Vehicle,14500 91ST AVE     ,1,2014
149,Theft of Motor Vehicle,16000 82ND AVE     ,1,2014
150,Theft of Motor Vehicle,6100 188TH ST     ,1,2014
151,Fatal/Injury Collision,5900 188TH ST     ,1,2014
152,Theft of Motor Vehicle,12500 60A AVE     ,1,2014
153,Theft from Motor Vehicle,13200 60B AVE     ,1,2014
154,Theft from Motor Vehicle,2300 192ND ST     ,1,2014
155,Theft from Motor Vehicle,6400 135A ST     ,1,2014
156,Theft of Motor Vehicle,10700 150TH ST     ,1,2014
157,Theft from Motor Vehicle,14600 75TH AVE     ,1,2014
158,Theft of Motor Vehicle,10800 141ST ST     ,1,2014
159,Theft from Motor Vehicle,19000 72A AVE     ,1,2014
160,Theft from Motor Vehicle,15500 MADRONA DR     ,1,2014
161,Theft from Motor Vehicle,15500 85A AVE     ,1,2014
162,Theft from Motor Vehicle,6300 181A ST     ,1,2014
163,Theft of Motor Vehicle,15900 26TH AVE     ,1,2014
164,Theft of Motor Vehicle,8200 KING GEORGE BLVD    ,1,2014
165,Theft of Motor Vehicle,10700 139TH ST     ,1,2014
166,Theft of Motor Vehicle,13500 CRESTVIEW DR     ,1,2014
167,Theft from Motor Vehicle,7300 146TH ST     ,1,2014
168,Theft of Motor Vehicle,6600 122ND ST     ,1,2014
169,Theft from Motor Vehicle,7800 122ND ST     ,1,2014
170,Theft from Motor Vehicle,14700 69A AVE     ,1,2014
171,Break and Enter - Business,10000 152ND ST     ,1,2014
172,Fatal/Injury Collision,7800 152ND ST     ,1,2014
173,Theft of Motor Vehicle,10600 139TH ST     ,1,2014
174,Theft from Motor Vehicle,15600 101A AVE     ,1,2014
175,Theft of Motor Vehicle,5900 164TH ST     ,1,2014
176,Theft of Motor Vehicle,6700 150B ST     ,1,2014
177,Break and Enter - Business,7800 132ND ST     ,1,2014
178,Theft from Motor Vehicle,9700 130TH ST     ,1,2014
179,Theft from Motor Vehicle,8900 161A ST     ,1,2014
180,Theft of Motor Vehicle,9400 152ND ST     ,1,2014
181,Break and Enter - Business,13700 80TH AVE     ,1,2014
182,Theft from Motor Vehicle,17700 100TH AVE     ,1,2014
183,Theft from Motor Vehicle,14900 94TH AVE     ,1,2014
184,Theft from Motor Vehicle,15500 89TH AVE     ,1,2014
185,Theft from Motor Vehicle,6700 176TH ST     ,1,2014
186,Theft from Motor Vehicle,7100 148B ST     ,1,2014
187,Theft of Motor Vehicle,10800 CITY PKWY     ,1,2014
188,Fatal/Injury Collision,11800 PATTULLO BRDG     ,1,2014
189,Theft from Motor Vehicle,9300 122ND ST     ,1,2014
190,Theft of Motor Vehicle,14800 33RD AVE     ,1,2014
191,Theft of Motor Vehicle,11100 124TH ST     ,1,2014
192,Theft of Motor Vehicle,14300 PARK DR     ,1,2014
193,Theft from Motor Vehicle,8000 133A ST     ,1,2014
194,Theft from Motor Vehicle,16900 58A AVE     ,1,2014
195,Theft of Motor Vehicle,13200 80TH AVE     ,1,2014
196,Theft of Motor Vehicle,7800 122ND ST     ,1,2014
197,Break and Enter - Business,9200 121ST ST     ,1,2014
198,Fatal/Injury Collision,7600 152ND ST     ,1,2014
199,Theft from Motor Vehicle,13400 59B AVE     ,1,2014
200,Theft of Motor Vehicle,13800 80B AVE     ,1,2014
201,Theft from Motor Vehicle,6000 174A ST     ,1,2014
202,Theft from Motor Vehicle,8100 153A ST     ,1,2014
203,Break and Enter - Business,16000 108TH AVE     ,1,2014
204,Theft of Motor Vehicle,14500 76B AVE     ,1,2014
205,Theft from Motor Vehicle,18000 60TH AVE     ,1,2014
206,Theft of Motor Vehicle,13100 103A AVE     ,1,2014
207,Theft from Motor Vehicle,14600 78TH AVE     ,1,2014
208,Theft of Motor Vehicle,13700 111A AVE     ,1,2014
209,Theft of Motor Vehicle,8900 QUEEN MARY BLVD    ,1,2014
210,Theft from Motor Vehicle,15000 92ND AVE     ,1,2014
211,Theft from Motor Vehicle,12300 SOUTHPARK CRES     ,1,2014
212,Theft from Motor Vehicle,6100 170A ST     ,1,2014
213,Theft from Motor Vehicle,10900 136TH ST     ,1,2014
214,Break and Enter - Business,8400 128TH ST     ,1,2014
215,Theft of Motor Vehicle,11700 RIVER RD     ,1,2014
216,Break and Enter - Business,13700 107A AVE     ,1,2014
217,Theft of Motor Vehicle,10100 143RD ST     ,1,2014
218,Theft from Motor Vehicle,13700 88TH AVE     ,1,2014
219,Theft from Motor Vehicle,8400 153A ST     ,1,2014
220,Theft from Motor Vehicle,14600 81A AVE     ,1,2014
221,Theft of Motor Vehicle,14900 102A AVE     ,1,2014
222,Theft of Motor Vehicle,12700 107A AVE     ,1,2014
223,Theft from Motor Vehicle,18200 60A AVE     ,1,2014
224,Theft from Motor Vehicle,10100 143RD ST     ,1,2014
225,Break and Enter - Residence,2400 126TH ST     ,1,2014
226,Theft from Motor Vehicle,8100 157A ST     ,1,2014
227,Theft from Motor Vehicle,14700 72A AVE     ,1,2014
228,Theft of Motor Vehicle,14700 67B AVE     ,1,2014
229,Theft from Motor Vehicle,14900 102A AVE     ,1,2014
230,Theft from Motor Vehicle,13000 76TH AVE     ,1,2014
231,Theft of Motor Vehicle,8600 154A ST     ,1,2014
232,Theft from Motor Vehicle,7800 156A ST     ,1,2014
233,Theft from Motor Vehicle,13700 96TH AVE     ,1,2014
234,Break and Enter - Business,1700 152ND ST     ,1,2014
235,Theft from Motor Vehicle,18500 64B AVE     ,1,2014
236,Theft of Motor Vehicle,17900 68TH AVE     ,1,2014
237,Theft of Motor Vehicle,7600 126A ST     ,1,2014
238,Theft from Motor Vehicle,8900 132ND ST     ,1,2014
239,Theft from Motor Vehicle,8000 146A ST     ,1,2014
240,Theft of Motor Vehicle,8700 GALWAY CRES     ,1,2014
241,Break and Enter - Business,6300 168TH ST     ,1,2014
242,Theft of Motor Vehicle,14000 GREENCREST DR     ,1,2014
243,Theft from Motor Vehicle,7900 155A ST     ,1,2014
244,Theft of Motor Vehicle,10500 131A ST     ,1,2014
245,Theft from Motor Vehicle,13100 72A AVE     ,1,2014
246,Theft of Motor Vehicle,1500 184TH ST     ,1,2014
247,Theft of Motor Vehicle,9500 127TH ST     ,1,2014
248,Theft from Motor Vehicle,6100 169TH ST     ,1,2014
249,Theft from Motor Vehicle,10700 137A ST     ,1,2014
250,Break and Enter - Business,6700 152ND ST     ,1,2014
251,Break and Enter - Business,13700 80TH AVE     ,1,2014
252,Theft from Motor Vehicle,14700 60TH AVE     ,1,2014
253,Theft from Motor Vehicle,7300 151A ST     ,1,2014
254,Theft of Motor Vehicle,10600 142ND ST     ,1,2014
255,Fatal/Injury Collision,19500 32ND AVE     ,1,2014
256,Theft from Motor Vehicle,13400 KING GEORGE BLVD    ,1,2014
257,Break and Enter - Business,8400 160TH ST     ,1,2014
258,Theft from Motor Vehicle,6200 186TH ST     ,1,2014
259,Theft of Motor Vehicle,7000 191ST ST     ,1,2014
260,Theft from Motor Vehicle,7900 155A ST     ,1,2014
261,Theft from Motor Vehicle,9800 WHALLEY BLVD     ,1,2014
262,Theft from Motor Vehicle,6300 175A ST     ,1,2014
263,Theft from Motor Vehicle,7100 144TH ST     ,1,2014
264,Theft from Motor Vehicle,13400 90TH AVE     ,1,2014
265,Theft from Motor Vehicle,13800 17TH AVE     ,1,2014
266,Theft from Motor Vehicle,15600 78A AVE     ,1,2014
267,Break and Enter - Business,10500 SCOTT RD     ,1,2014
268,Break and Enter - Business,13700 80TH AVE     ,1,2014
269,Theft from Motor Vehicle,12400 66TH AVE     ,1,2014
270,Theft from Motor Vehicle,14400 79A AVE     ,1,2014
271,Theft from Motor Vehicle,7400 150A ST     ,1,2014
272,Theft of Motor Vehicle,9600 192ND ST     ,1,2014
273,Theft from Motor Vehicle,10200 144A ST     ,1,2014
274,Theft from Motor Vehicle,6600 128A ST     ,1,2014
275,Fatal/Injury Collision,15100 PHEASANT DR     ,1,2014
276,Theft from Motor Vehicle,18100 69TH AVE     ,1,2014
277,Theft from Motor Vehicle,7600 KING GEORGE BLVD    ,1,2014
278,Theft of Motor Vehicle,10000 121ST ST     ,1,2014
279,Theft from Motor Vehicle,10200 133RD ST     ,1,2014
280,Theft of Motor Vehicle,10200 143A ST     ,1,2014
281,Theft from Motor Vehicle,15100 PHEASANT DR     ,1,2014
282,Theft of Motor Vehicle,6700 144B ST     ,1,2014
283,Break and Enter - Business,15700 32ND AVE     ,1,2014
284,Theft from Motor Vehicle,1600 138B ST     ,1,2014
285,Theft from Motor Vehicle,6000 131A ST     ,1,2014
286,Theft from Motor Vehicle,7300 151A ST     ,1,2014
287,Theft from Motor Vehicle,14600 59TH AVE     ,1,2014
288,Break and Enter - Business,14800 SPENSER DR     ,1,2014
289,Theft from Motor Vehicle,15000 73B AVE     ,1,2014
290,Theft from Motor Vehicle,16800 87TH AVE     ,1,2014
291,Theft from Motor Vehicle,7100 134TH ST     ,1,2014
292,Theft of Motor Vehicle,10900 131A ST     ,1,2014
293,Theft from Motor Vehicle,14600 72ND AVE     ,1,2014
294,Theft from Motor Vehicle,8100 153RD ST     ,1,2014
295,Theft from Motor Vehicle,10700 UNIVERSITY DR     ,1,2014
296,Theft of Motor Vehicle,12100 95TH AVE     ,1,2014
297,Theft of Motor Vehicle,13400 14TH AVE     ,1,2014
298,Theft of Motor Vehicle,9100 144TH ST     ,1,2014
299,Theft of Motor Vehicle,10000 156B ST     ,1,2014
300,Theft of Motor Vehicle,8700 143A ST     ,1,2014
301,Theft of Motor Vehicle,9500 132ND ST     ,1,2014
302,Theft from Motor Vehicle,7300 151A ST     ,1,2014
303,Break and Enter - Residence,9300 126TH ST     ,1,2014
304,Theft from Motor Vehicle,16700 63B AVE     ,1,2014
305,Theft from Motor Vehicle,12200 AGAR ST     ,1,2014
306,Break and Enter - Business,12300 84TH AVE     ,1,2014
307,Theft of Motor Vehicle,10300 149A ST     ,1,2014
308,Break and Enter - Business,12400 80TH AVE     ,1,2014
309,Theft from Motor Vehicle,14900 83A AVE     ,1,2014
310,Theft from Motor Vehicle,9400 PRINCE CHARLES BLVD    ,1,2014
311,Theft from Motor Vehicle,6500 130TH ST     ,1,2014
312,Theft from Motor Vehicle,9100 162A ST     ,1,2014
313,Theft of Motor Vehicle,10600 141ST ST     ,1,2014
314,Theft from Motor Vehicle,13200 SHAKESPEARE PL     ,1,2014
315,Theft from Motor Vehicle,16700 61ST AVE     ,1,2014
316,Theft from Motor Vehicle,6900 182A ST     ,1,2014
317,Theft of Motor Vehicle,13400 71ST AVE     ,1,2014
318,Theft of Motor Vehicle,15100 108TH AVE     ,1,2014
319,Theft from Motor Vehicle,5700 WOODSIDE PL     ,1,2014
320,Theft from Motor Vehicle,8300 153RD ST     ,1,2014
321,Break and Enter - Business,15800 85TH AVE     ,1,2014
322,Theft from Motor Vehicle,16700 85TH AVE     ,1,2014
323,Theft from Motor Vehicle,15400 85TH AVE     ,1,2014
324,Break and Enter - Business,18800 98A AVE     ,1,2014
325,Theft from Motor Vehicle,12900 109TH AVE     ,1,2014
326,Break and Enter - Business,13400 76TH AVE     ,1,2014
327,Theft from Motor Vehicle,19500 FRASER HWY     ,1,2014
328,Theft from Motor Vehicle,13300 102A AVE     ,1,2014
329,Theft of Motor Vehicle,13400 89A AVE     ,1,2014
330,Break and Enter - Business,8400 120TH ST     ,1,2014
331,Theft from Motor Vehicle,14100 85A AVE     ,1,2014
332,Theft from Motor Vehicle,6700 193A ST     ,1,2014
333,Theft from Motor Vehicle,12400 82ND AVE     ,1,2014
334,Theft of Motor Vehicle,12500 60A AVE     ,1,2014
335,Theft from Motor Vehicle,14000 30A AVE     ,1,2014
336,Shoplifting,1000 GUILDFORD TOWN CTR    ,1,2014
337,Break and Enter - Residence,8800 141A ST     ,1,2014
338,Theft of Motor Vehicle,11800 RIVER RD     ,1,2014
339,Break and Enter - Residence,12600 69TH AVE     ,1,2014
340,Theft from Motor Vehicle,13400 78A AVE     ,1,2014
341,Theft from Motor Vehicle,13700 76TH AVE     ,1,2014
342,Theft of Motor Vehicle,15200 87A AVE     ,1,2014
343,Theft of Motor Vehicle,16800 86A AVE     ,1,2014
344,Theft from Motor Vehicle,6700 178B ST     ,1,2014
345,Theft from Motor Vehicle,12400 69TH AVE     ,1,2014
346,Theft of Motor Vehicle,10900 146TH ST     ,1,2014
347,Theft from Motor Vehicle,6300 186TH ST     ,1,2014
348,Theft from Motor Vehicle,7100 144B ST     ,1,2014
349,Theft of Motor Vehicle,12600 21A AVE     ,1,2014
350,Theft from Motor Vehicle,16100 76A AVE     ,1,2014
351,Theft of Motor Vehicle,18000 99A AVE     ,1,2014
352,Theft of Motor Vehicle,2300 KING GEORGE BLVD    ,1,2014
353,Theft from Motor Vehicle,9400 140TH ST     ,1,2014
354,Theft from Motor Vehicle,14400 81A AVE     ,1,2014
355,Theft from Motor Vehicle,9700 154TH ST     ,1,2014
356,Fatal/Injury Collision,13400 108TH AVE     ,1,2014
357,Theft from Motor Vehicle,13700 101ST AVE     ,1,2014
358,Theft from Motor Vehicle,14500 74A AVE     ,1,2014
359,Theft from Motor Vehicle,8700 149TH ST     ,1,2014
360,Break and Enter - Business,12600 72ND AVE     ,1,2014
361,Break and Enter - Business,12700 88TH AVE     ,1,2014
362,Theft from Motor Vehicle,13000 98TH AVE     ,1,2014
363,Theft of Motor Vehicle,15000 66A AVE     ,1,2014
364,Theft from Motor Vehicle,18500 58A AVE     ,1,2014
365,Theft from Motor Vehicle,7000 151A ST     ,1,2014
366,Theft of Motor Vehicle,8600 159TH ST     ,1,2014
367,Break and Enter - Residence,11100 160TH ST     ,1,2014
368,Theft from Motor Vehicle,15200 35TH AVE     ,1,2014
369,Theft from Motor Vehicle,18800 67A AVE     ,1,2014
370,Theft from Motor Vehicle,16000 85TH AVE     ,1,2014
371,Theft from Motor Vehicle,13300 KING GEORGE BLVD    ,1,2014
372,Theft from Motor Vehicle,6600 128B ST     ,1,2014
373,Break and Enter - Business,8300 129TH ST     ,1,2014
374,Theft from Motor Vehicle,8300 146A ST     ,1,2014
375,Theft from Motor Vehicle,6400 173A ST     ,1,2014
376,Theft from Motor Vehicle,7300 146TH ST     ,1,2014
377,Theft of Motor Vehicle,7900 122ND ST     ,1,2014
378,Theft of Motor Vehicle,11300 LOUGHREN DR     ,1,2014
379,Theft from Motor Vehicle,7500 KING GEORGE BLVD    ,1,2014
380,Break and Enter - Residence,13600 22A AVE     ,1,2014
381,Theft of Motor Vehicle,8500 140TH ST     ,1,2014
382,Theft of Motor Vehicle,9400 150TH ST     ,1,2014
383,Theft of Motor Vehicle,8400 162ND ST     ,1,2014
384,Theft of Motor Vehicle,12300 104TH AVE     ,1,2014
385,Theft of Motor Vehicle,1600 141B ST     ,1,2014
386,Theft from Motor Vehicle,6400 173A ST     ,1,2014
387,Theft from Motor Vehicle,6700 178A ST     ,1,2014
388,Fatal/Injury Collision,7800 170TH ST     ,1,2014
389,Theft from Motor Vehicle,12500 110TH AVE     ,1,2014
390,Theft from Motor Vehicle,7000 151ST ST     ,1,2014
391,Break and Enter - Business,9600 134TH ST     ,1,2014
392,Theft from Motor Vehicle,9400 163RD ST     ,1,2014
393,Theft of Motor Vehicle,13700 105TH AVE     ,1,2014
394,Break and Enter - Residence,10700 KING GEORGE BLVD    ,1,2014
395,Theft from Motor Vehicle,12800 26TH AVE     ,1,2014
396,Theft of Motor Vehicle,16100 108TH AVE     ,1,2014
397,Theft from Motor Vehicle,8500 165A ST     ,1,2014
398,Theft of Motor Vehicle,13900 102ND AVE     ,1,2014
399,Fatal/Injury Collision,14800 60TH AVE     ,1,2014
400,Theft from Motor Vehicle,7900 126A ST     ,1,2014
401,Theft from Motor Vehicle,3000 KING GEORGE BLVD    ,1,2014
402,Theft from Motor Vehicle,8900 161A ST     ,1,2014
403,Break and Enter - Business,12100 72ND AVE     ,1,2014
404,Fatal/Injury Collision,5800 182ND ST     ,1,2014
405,Theft from Motor Vehicle,14300 77TH AVE     ,1,2014
406,Fatal/Injury Collision,4900 KING GEORGE BLVD    ,1,2014
407,Theft from Motor Vehicle,7100 148TH ST     ,1,2014
408,Theft from Motor Vehicle,7300 PARKWOOD DR     ,1,2014
409,Theft from Motor Vehicle,9100 162A ST     ,1,2014
410,Theft of Motor Vehicle,10700 139TH ST     ,1,2014
411,Theft from Motor Vehicle,13000 14TH AVE     ,1,2014
412,Theft of Motor Vehicle,6600 127A ST     ,1,2014
413,Theft of Motor Vehicle,13400 112A AVE     ,1,2014
414,Theft of Motor Vehicle,13400 72ND AVE     ,1,2014
415,Theft from Motor Vehicle,14300 67A AVE     ,1,2014
416,Theft from Motor Vehicle,13300 108TH AVE     ,1,2014
417,Theft of Motor Vehicle,13800 80A AVE     ,1,2014
418,Theft from Motor Vehicle,15500 POPLAR DR     ,1,2014
419,Theft from Motor Vehicle,19000 69A AVE     ,1,2014
420,Theft from Motor Vehicle,9600 133A ST     ,1,2014
421,Break and Enter - Business,12300 84TH AVE     ,1,2014
422,Theft from Motor Vehicle,12300 84TH AVE     ,1,2014
423,Theft of Motor Vehicle,9400 159A ST     ,1,2014
424,Theft of Motor Vehicle,19400 54TH AVE     ,1,2014
425,Theft from Motor Vehicle,6700 152ND ST     ,1,2014
426,Theft from Motor Vehicle,9400 159A ST     ,1,2014
427,Theft of Motor Vehicle,9500 130A ST     ,1,2014
428,Theft from Motor Vehicle,13600 BENTLEY RD     ,1,2014
429,Theft from Motor Vehicle,8100 153A ST     ,1,2014
430,Break and Enter - Residence,10400 128TH ST     ,1,2014
431,Theft from Motor Vehicle,14900 71A AVE     ,1,2014
432,Theft from Motor Vehicle,14900 57TH AVE     ,1,2014
433,Theft of Motor Vehicle,15400 85TH AVE     ,1,2014
434,Theft from Motor Vehicle,18900 68B AVE     ,1,2014
435,Break and Enter - Residence,9600 152B ST     ,1,2014
436,Theft of Motor Vehicle,12700 99TH AVE     ,1,2014
437,Shoplifting,17700 56TH AVE     ,1,2014
438,Theft of Motor Vehicle,4100 152ND ST     ,1,2014
439,Theft from Motor Vehicle,12100 76A AVE     ,1,2014
440,Theft of Motor Vehicle,6600 138TH ST     ,1,2014
441,Break and Enter - Business,10800 SCOTT RD     ,1,2014
442,Theft from Motor Vehicle,10800 SCOTT RD     ,1,2014
443,Break and Enter - Business,12200 KING GEORGE BLVD    ,1,2014
444,Theft of Motor Vehicle,12200 KING GEORGE BLVD    ,1,2014
445,Theft from Motor Vehicle,14600 67A AVE     ,1,2014
446,Theft from Motor Vehicle,15300 103A AVE     ,1,2014
447,Fatal/Injury Collision,18800 96TH AVE     ,1,2014
